Year,Month,Day,Time,Value
2018.0,12.0,12.0,2.65,1.18
2018.0,12.0,12.0,3.94,0.99
2018.0,12.0,12.0,4.94,0.98
2018.0,12.0,12.0,5.94,1.05
2018.0,12.0,12.0,6.94,1.68
2018.0,12.0,12.0,9.39,1.72
2018.0,12.0,12.0,11.1,1.62
