Year,Month,Day,Time,Value
2018.0,12.0,12.0,2.51,41.7
2018.0,12.0,12.0,3.66,38.71
2018.0,12.0,12.0,4.47,37.82
2018.0,12.0,12.0,5.27,37.12
2018.0,12.0,12.0,6.08,36.04
2018.0,12.0,12.0,6.88,35.03
