Year,Month,Day,Time,Value
2018.0,12.0,12.0,2.51,102460.98
2018.0,12.0,12.0,3.66,102520.48
2018.0,12.0,12.0,4.47,102537.1
2018.0,12.0,12.0,5.27,102584.09
2018.0,12.0,12.0,6.08,102613.14
2018.0,12.0,12.0,6.88,102643.85
